Family,Genus,Species (I.e. Genus + specific epithet),Pollination Mode,Resource,Notes
Acanthaceae,,,animal,FFP,
Aceraceae,,,animal,FFP,
Aceraceae,,,wind,Polleninfo.org,
Adoxaceae,,,animal,FFP,
Aizoaceae,,,animal,FFP,
Alliaceae,,,animal,FFP,
Amaranthaceae,,,animal,BA,
Anarthriaceae,,,wind,FFP,
Apiaceae,,,wind,Polleninfo.org,
Apodanthaceae,,,animal,FFP,
Aponogetonaceae,,,animal,FFP,
Araceae,,,animal,FFP,
Aristolochiaceae,,,animal,PPE,
Asclepiadaceae,,,animal,PPE,
Asteraceae,,,animal,BA,
Austrobaileyaceae,,,animal,FFP
Balsaminaceae,,,animal,FFP
Barbeyaceae,,,wind,FFP
Betulaceae,,,wind,PPE
Bignoniaceae,,,animal,PPE
Bombacaceae,,,animal,PPE
Boraginaceae,,,animal,PPE
Bromeliaceae,,,animal,PPE
Burmannaiaceae,,,animal,PPE
Cabombaceae,,,animal,FFP
Cactaceae,,,animal,PPE
Calycanthaceae,,,animal,FFP
Calyceraceae,,,animal,FFP
Campanulaceae,,,animal,FFP
Cannabidaceae,,,wind,FFP
Cannaceae,,,animal,FFP
Capparidaceae,,,animal,PPE,
Caprifoliaceae,,,animal,FFP,
Carpinaceae,,,wind,FFP,
Cartonemataceae,,,animal,FFP,
Caryocaraceae,,,animal,FFP,
Caryophyllaceae,,,animal,FFP,
Casuarinaceae,,,wind,FFP,
Cecropiaceae,,,animal/wind,FFP,
Celastraceae,,,animal,FFP,
Centrolepidaceae,,,wind,FFP,
Cercidiphyllaceae,,,wind,FFP,
Cobaeaceae,,,animal,FFP,
Commelinaceae,,,animal/self,FFP,
Compositae,,,animal/wind,FFP,
Convallariaceae,,,animal,FFP,
Corylaceae,,,wind,FFP,
Costaceae,,,animal,FFP,,,
Crassulaceae,,,animal,FFP,,,
Cruciferae,,,animal/wind,FFP,,,
Cucurbitaceae,,,animal,FFP,,,
Cyclantheaceae,,,animal,PPE,insect,,
Cyperaceae,,,wind,PPE,,,
Cypripediaceae,,,animal,FFP,,,
Cytinaceae,,,animal,FFP,,,
Datiscaceae,,,wind,FFP,,,
Degeneriaceae,,,animal,FFP,,,
Dioscoreaceae,,,animal,FFP,,,
Dipsaceae,,,animal,FFP,,,
Dipterocarpaceae,,,animal,FFP,,,
Doryanthaceae,,,animal,FFP,,,
Droseraceae,,,animal,FFP,,,
Drosophyllaceae,,,animal,FFP,,,
Ecdeiocoleaceae,,,wind,FFP
Elaeagnaceae,,,animal/wind,FFP
Epacridaceae,,,animal,FFP
Ericaceae,,,animal,PPE
Eriocaulaceae,,,animal/wind,FFP
Eucommiaceae,,,wind,FFP
Eucryphiaceae,,,animal,FFP
Euphorbiaceae,,,animal,FFP
Eupomatiaceae,,,animal,FFP
Eupteleaceae,,,wind,FFP
Fabaceae,,,animal,BA
Fagaceae,,,wind,FFP
Flacourtiaceae,,,animal,FFP
Flagellariaceae,,,wind,FFP
Frankeniaceae,,,animal,FFP
Garryaceae,,,wind,FFP
Gentianaceae,,,animal,FFP
Gesneriaceae,,,animal,FFP
Goodeniaceae,,,animal,FFP
Gramineae,,,wind,PPE
Grossulariaceae,,,animal,FFP
Haemodoraceae,,,animal,FFP
Haloragidaceae,,,wind,FFP
Hamamelidaceae,,,animal/wind,FFP
Heliconiaceae,,,animal,FFP
Himantandraceae,,,animal,FFP
Hippocastanaceae,,,animal,FFP
Hippuridaceae,,,wind,FFP
Hydatellaceae,,,self,FFP
Hydnoraceae,,,animal,PPE
Hydrocharitaceae,,,animal,FFP
Hydrophyllaceae,,,animal,FFP
Hypecoaceae,,,animal,FFP
Iridaceae,,,animal,FFP
Joinvilleaceae,,,wind,FFP
Juglandaceae,,,wind,FFP
Juncaceae,,,wind,PPE
Juncaginaceae,,,wind,FFP
Krameriaceae,,,animal,FFP
Labiateae,,,animal,PPE
Lecythidaceae,,,animal,FFP
Leitneriaceae,,,wind,FFP
Lentibulariaceae,,,animal,FFP
Leonticaceae,,,animal,FFP
Liliaceae,,,animal,FFP
Loranthaceae,,,animal,PPE
Lowiaceae,,,animal,FFP
Lythraceae,,,animal,FFP
Magnoliaceae,,,animal,PPE,insect
Malpighiaceae,,,animal,FFP,
Malvaceae,,,animal,FFP,
Marantaceae,,,animal,FFP,
Marcgraviaceae,,,animal,FFP,
Melastomataceae,,,animal,FFP,
Meliaceae,,,animal,FFP,
Memecylaceae,,,animal,FFP,
Mentheae,,,animal,PPE,
Menyanthaceae,,,animal,FFP,
Mitrastemonaceae,,,animal,FFP,
Moraceae,,,animal/wind,FFP,
Muntingiaceae,,,animal,FFP,
Musaceae,,,animal,FFP,
Myricaceae,,,wind,FFP,
