"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo","mat60","mat30","mat45"
3036,132.341677913873,23.7321413279659,3.77758056072578,1,1951,49.2667,8.75,"49.2667 8.75","1950-1960",84,6.232131008242,6.03968736500246,4.96434771512514
2472,123.201948199197,126.868327410681,8.33338691050848,1,1952,49.2667,8.75,"49.2667 8.75","1950-1960",106,8.45614735197398,9.6190622849972,6.74599984921515
2100,106.424837578008,13.638899460264,4.52387086662554,1,1953,49.2667,8.75,"49.2667 8.75","1950-1960",79,8.63958997082454,6.39984360695234,7.71956504484558
2568,123.685826897682,55.5899570373851,7.43209660807324,1,1954,49.2667,8.75,"49.2667 8.75","1950-1960",106,6.81262279854568,8.26046856536414,4.19869555832575
1752,101.983392461362,78.7961960088187,7.57532241132351,1,1955,49.2667,8.75,"49.2667 8.75","1950-1960",119,5.32229496300465,9.77265603156411,5.5075554324521
1980,101.718198696476,74.7494445743263,7.28290306302088,1,1956,49.2667,8.75,"49.2667 8.75","1950-1960",112,6.13442609239309,8.9559372998192,7.93217373574558
2688,127.63440560612,94.2311569271854,8.73225786933495,1,1957,49.2667,8.75,"49.2667 8.75","1950-1960",92,8.70155718255422,8.20312481664587,9.03010849381352
2100,106.313550269477,218.397669843382,11.8969352179537,1,1958,49.2667,8.75,"49.2667 8.75","1950-1960",138,3.73008188383929,8.05984356984845,8.09033315250029
2388,120.266229534345,154.295959614938,10.1998384816933,1,1959,49.2667,8.75,"49.2667 8.75","1950-1960",117,9.36262274154874,6.82265609750175,7.47065200693095
2664,125.686698253209,65.8330457519123,6.99032242439928,1,1960,49.2667,8.75,"49.2667 8.75","1950-1960",88,8.04344244316587,5.8270311197557,7.62847809035979
2424,126.015004751525,21.1560838434975,4.41483861099808,2,1951,49.9167,11,"49.9167 11","1950-1960",97,4.87721300573989,4.86843739118194,3.54771731200668
2052,108.055725722515,70.3651373786624,5.55951600476739,2,1952,49.9167,11,"49.9167 11","1950-1960",104,6.60090149180261,8.6637498063501,4.66188878468755
1920,101.570281806673,45.5273937895911,5.75887083902114,2,1953,49.9167,11,"49.9167 11","1950-1960",92,7.6371309768378,4.87624989100732,6.70869550222288
2232,115.114406476207,22.0352611196141,5.39967729866264,2,1954,49.9167,11,"49.9167 11","1950-1960",113,5.49213102478229,6.9501560946519,2.75347819932453
1620,95.0967590942319,69.0793421866774,6.728548236702,2,1955,49.9167,11,"49.9167 11","1950-1960",120,3.90991794539341,8.2824998148717,3.08733326432606
1800,96.4457181884139,39.711807315544,5.55870955317251,2,1956,49.9167,11,"49.9167 11","1950-1960",116,4.03540974586713,7.01499984320253,6.21760855667779
2520,122.421681642156,65.8899542814485,7.72516111765177,2,1957,49.9167,11,"49.9167 11","1950-1960",95,7.00967197446916,6.18296861179988,7.57054330904604
2016,103.203952662616,29.6517029930269,5.01080633961265,2,1958,49.9167,11,"49.9167 11","1950-1960",118,2.06885241277394,6.27078110983712,5.98277764405227
2484,115.536162556852,52.9401324779161,6.71612888214088,2,1959,49.9167,11,"49.9167 11","1950-1960",91,8.08647522908926,5.23453113299911,5.65847813439272
2460,112.93290641913,33.8871200726878,5.17483859401076,2,1960,49.9167,11,"49.9167 11","1950-1960",97,6.05704904494227,4.27656240441138,5.30456509882503
2580,129.351511719204,18.7428049461108,4.85177408510278,3,1951,50.15,10.4333,"50.15 10.4333","1950-1960",108,4.91614743109915,4.99093738844385,3.69793469995341
2208,114.397235310314,55.3125468330659,5.15645149764755,3,1952,50.15,10.4333,"50.15 10.4333","1950-1960",102,7.19475393754537,8.45937481091823,5.29433321499576
2100,107.129260462559,96.0008967806948,8.77354819099269,3,1953,50.15,10.4333,"50.15 10.4333","1950-1960",107,7.51344245501229,4.983593638608,6.59293463524512
2304,117.191937533676,28.7461759522096,5.9153224484274,3,1954,50.15,10.4333,"50.15 10.4333","1950-1960",110,5.77368839553817,7.45671858332935,2.86782602285561
1680,98.9532113872198,34.1682100120709,5.74564503286515,3,1955,50.15,10.4333,"50.15 10.4333","1950-1960",114,4.00040974664945,8.495937310101,3.8439999140799
1932,98.5635637443122,59.2952781204562,6.55870953082077,3,1956,50.15,10.4333,"50.15 10.4333","1950-1960",120,4.74311464808148,7.687812328164,6.73554332770974
2640,127.727327425338,103.797776324697,8.54306432517666,3,1957,50.15,10.4333,"50.15 10.4333","1950-1960",123,7.63081950156904,6.62156235199654,7.78945634763121
2040,106.703379389918,89.423838741973,7.58016112089277,3,1958,50.15,10.4333,"50.15 10.4333","1950-1960",128,2.39385240550962,6.42390610641451,6.67099985089153
2388,114.387234892744,122.166529497573,9.16935463375863,3,1959,50.15,10.4333,"50.15 10.4333","1950-1960",112,8.39639325494893,5.12343738548225,5.75760856695959
2556,116.498695791267,65.0744390824255,7.13241919541671,3,1960,50.15,10.4333,"50.15 10.4333","1950-1960",100,6.79573755302146,4.56609364793985,5.7081520463259
2904,131.700949497467,31.014572780707,5.56725794007821,4,1951,49.4167,9.28333,"49.4167 9.28333","1950-1960",108,5.72942610144554,5.58984362505726,4.48467381280321
2364,118.501996918584,52.6843313420044,5.6095160036498,4,1952,49.4167,9.28333,"49.4167 9.28333","1950-1960",101,7.85491785721579,8.88046855150606,6.09088875274691
2196,109.314178377131,57.4059494395562,6.36645147060194,4,1953,49.4167,9.28333,"49.4167 9.28333","1950-1960",92,7.92631129824297,5.76921862104791,7.02445636473029
2496,122.069540859158,44.7425582072142,6.62403211000586,4,1954,49.4167,9.28333,"49.4167 9.28333","1950-1960",117,6.32803264544269,7.7623435764981,3.45836948791681
1692,99.7633324925181,33.4942392232754,5.95774180231796,4,1955,49.4167,9.28333,"49.4167 9.28333","1950-1960",116,4.58303268444648,9.18093729479006,4.79977767049438
2028,103.514046156356,68.2088381118107,7.00096758545166,4,1956,49.4167,9.28333,"49.4167 9.28333","1950-1960",118,5.52614741746458,8.18124981713481,7.34065200983668
2652,127.790514828691,87.562788201817,8.30774174979137,4,1957,49.4167,9.28333,"49.4167 9.28333","1950-1960",102,8.03696703347454,7.39624983468093,8.494130244924
2136,106.12653097224,73.8709386799475,7.28983854673683,4,1958,49.4167,9.28333,"49.4167 9.28333","1950-1960",125,3.05393435796875,7.42781233397545,7.34488872471783
2568,120.279164480552,87.0614223050488,8.32612884615458,4,1959,49.4167,9.28333,"49.4167 9.28333","1950-1960",102,8.85114734314504,5.88781236839714,7.02097810393847
2664,125.225475559062,89.558714078414,8.20725788106962,4,1960,49.4167,9.28333,"49.4167 9.28333","1950-1960",108,7.37573754005745,5.3731248799013,6.87217375943842
2868,131.982939951486,20.4097724045499,4.84338698851606,5,1951,50.5167,8.81667,"50.5167 8.81667","1950-1960",109,4.87262284190806,4.89265614064061,3.75804339426205
2208,116.844322572043,103.09855597926,7.09451597045747,5,1952,50.5167,8.81667,"50.5167 8.81667","1950-1960",106,7.32311459041399,8.52515605944791,5.59177765279181
2244,108.921099446211,55.7903069245163,6.48854824206642,5,1953,50.5167,8.81667,"50.5167 8.81667","1950-1960",92,7.74352441708267,5.33453113076393,6.9073911499556
2520,121.314549738885,41.9602939727019,6.69483856003611,5,1954,50.5167,8.81667,"50.5167 8.81667","1950-1960",119,6.10598347007801,7.53749983152375,3.12065210416103
1668,100.261684284006,76.2145418351884,7.39774177013145,5,1955,50.5167,8.81667,"50.5167 8.81667","1950-1960",120,4.26065564247184,8.72781230491819,4.53833323189368
2088,102.660108554128,49.6635490916754,6.26322566645761,5,1956,50.5167,8.81667,"50.5167 8.81667","1950-1960",115,5.1590982453409,7.70890607769252,6.96956506160938
2808,133.017964876968,81.5857013530484,8.54193529294383,5,1957,50.5167,8.81667,"50.5167 8.81667","1950-1960",96,7.85024572617268,6.84765609694296,8.03847808119557
2184,107.470385906141,36.8004096270634,4.77725795773609,5,1958,50.5167,8.81667,"50.5167 8.81667","1950-1960",112,2.66237698967156,7.31593733647605,6.84311095815566
2496,116.518933360595,70.9306129312714,7.52774176722573,5,1959,50.5167,8.81667,"50.5167 8.81667","1950-1960",96,8.64360636417739,5.294531131658,5.5854346577645
2592,121.594775450421,45.2503162227472,6.07435470293727,5,1960,50.5167,8.81667,"50.5167 8.81667","1950-1960",97,6.8583605024414,4.23687490529846,6.33684768444737
3156,136.391414116709,50.6241186983691,6.62919340021307,6,1951,50,8.71667,"50 8.71667","1950-1960",109,6.58475395117993,6.5460936036834,5.39467379246312
2688,131.262168093153,94.1856361384632,7.11951596989867,6,1952,50,8.71667,"50 8.71667","1950-1960",103,8.83680308117058,9.71374978288077,7.08222206392222
2148,106.491068531901,90.7870029854325,7.67967724770067,6,1953,50,8.71667,"50 8.71667","1950-1960",93,8.83680308117058,7.01999984309077,7.88021721516776
2532,121.033231721928,56.0778277605369,7.38790306067395,6,1954,50,8.71667,"50 8.71667","1950-1960",113,7.48516376711978,8.62609355719178,4.79369554502647
1776,105.89389079874,77.3836222640213,7.80548369650158,6,1955,50,8.71667,"50 8.71667","1950-1960",118,5.9161474087474,9.69812478323001,5.9281109786075
2016,103.644008776676,84.8246052098522,7.76629014899053,6,1956,50,8.71667,"50 8.71667","1950-1960",115,6.53762280469241,9.13437479583081,8.12336938364593
2640,131.074776807021,113.678028168033,9.39064495139305,6,1957,50,8.71667,"50 8.71667","1950-1960",98,8.9713112748854,8.52937480935361,8.75630415210743
2256,110.650161664194,63.3316126422637,7.03193532669496,6,1958,50,8.71667,"50 8.71667","1950-1960",120,4.39836055742668,8.69453105566208,8.33033314713587
2376,116.96249297076,110.123960840527,9.07677399066667,6,1959,50,8.71667,"50 8.71667","1950-1960",103,9.28532766130921,7.32421858629095,7.604999830015
2688,124.906617549389,93.5800994904607,8.31516110446424,6,1960,50,8.71667,"50 8.71667","1950-1960",99,8.42622931985582,6.061093614524,7.88869547584782
2856,130.808422276429,49.3775995496592,6.14903212062293,7,1951,48.7167,9.21667,"48.7167 9.21667","1950-1960",110,5.8340162630422,5.67390612317831,4.55326076779191
2424,119.194650305344,35.1578318692008,5.11741924045547,7,1952,48.7167,9.21667,"48.7167 9.21667","1950-1960",99,7.841639168988,8.81281230301829,6.32299985866994
2172,109.334873270629,74.4603573713305,6.96354823144934,7,1953,48.7167,9.21667,"48.7167 9.21667","1950-1960",94,7.83327851343717,5.94640611708746,6.99086940895928
2412,121.009643217215,38.200589076143,6.05758050976381,7,1954,48.7167,9.21667,"48.7167 9.21667","1950-1960",118,5.85368839375003,7.82796857503126,3.61836948434053
1896,105.557497643215,51.443897725657,6.45741921050414,7,1955,48.7167,9.21667,"48.7167 9.21667","1950-1960",118,4.67614743646356,8.68593730585417,4.65411100708362
2100,104.940605528701,66.378450257194,6.77983855813622,7,1956,48.7167,9.21667,"48.7167 9.21667","1950-1960",115,5.30639332401581,7.92328107290086,7.39978244329762
2472,125.024972884919,81.6168482825902,7.83693530870181,7,1957,48.7167,9.21667,"48.7167 9.21667","1950-1960",86,8.09499981906265,7.07359359189286,8.20163025146188
2088,108.694584302942,49.6225233699659,6.11177405693959,7,1958,48.7167,9.21667,"48.7167 9.21667","1950-1960",122,3.10745894693632,6.94671859472874,7.13111095171836
2472,119.327234449991,70.6530328497578,7.60629015256681,7,1959,48.7167,9.21667,"48.7167 9.21667","1950-1960",95,8.44458997518313,5.82874986971729,7.14967375323581
2760,124.212479521012,57.439963943519,6.73419339786614,7,1960,48.7167,9.21667,"48.7167 9.21667","1950-1960",98,7.11877033268636,5.23578113297117,6.26641290341301
1752,102.038784536135,25.5431252687644,5.03758053256259,8,1951,48.8333,12.9667,"48.8333 12.9667","1950-1960",110,4.6877867804657,4.65671864591422,3.28391297007708
1752,95.8710388871024,117.348325653779,7.39451596375194,8,1952,48.8333,12.9667,"48.8333 12.9667","1950-1960",111,5.78524577232902,7.8495310745493,3.369888813566
1560,91.3544279290554,35.4289626700278,4.95548376020405,8,1953,48.8333,12.9667,"48.8333 12.9667","1950-1960",93,6.57557362351628,4.01281241030665,5.72989117627478
1956,107.422394195681,26.1379705823221,5.48596761931455,8,1954,48.8333,12.9667,"48.8333 12.9667","1950-1960",118,5.02491792047122,6.96281234436901,1.61402170305424
1464,90.7504277482925,81.5311085098057,6.86887081421071,8,1955,48.8333,12.9667,"48.8333 12.9667","1950-1960",122,2.7906556753289,7.77218732627807,2.74722216081702
1620,92.0880154716068,44.0546069170051,5.53887084393852,8,1956,48.8333,12.9667,"48.8333 12.9667","1950-1960",116,3.89098351958712,6.65656235121423,5.88586943365795
2508,117.572776504202,62.1947651103428,7.50258047746555,8,1957,48.8333,12.9667,"48.8333 12.9667","1950-1960",98,6.74385230827954,5.89359361826791,6.86923897689532
1512,90.0214783397238,49.2024901964873,6.06370954188488,8,1958,48.8333,12.9667,"48.8333 12.9667","1950-1960",125,1.51540980219352,5.58218737522839,5.64566654047618
2196,105.258298130088,46.0825691207901,6.43499985616654,8,1959,48.8333,12.9667,"48.8333 12.9667","1950-1960",96,7.32270475435758,3.98796866086195,5.57728248403367
2292,103.6574191235,48.0648024008382,6.34548372913512,8,1960,48.8333,12.9667,"48.8333 12.9667","1950-1960",102,5.8670490491891,4.62562489660922,4.30749990371987
2604,128.538652601698,21.8377494045801,4.99790311409461,9,1951,50.4167,10.3833,"50.4167 10.3833","1950-1960",110,4.7808195652715,4.92703113987227,3.58347818077258
2220,114.75884176378,139.370261675664,8.08032240003588,9,1952,50.4167,10.3833,"50.4167 10.3833","1950-1960",109,7.13844246339419,8.30828106429544,5.25011099376198
2136,109.159450648397,75.9973059901361,7.288709514504,9,1953,50.4167,10.3833,"50.4167 10.3833","1950-1960",99,7.34401622929107,4.65343739598757,6.49815202866802
2256,115.715626274977,33.8440259423618,6.13161276617358,9,1954,50.4167,10.3833,"50.4167 10.3833","1950-1960",120,5.39409824008824,7.17734358957387,2.51065211779559
1668,98.5612443733358,91.0126303777209,7.6037095074632,9,1955,50.4167,10.3833,"50.4167 10.3833","1950-1960",122,3.66467204923574,8.48015606045374,3.65699991825968
1944,99.2224758006169,45.7338644288069,5.98870954356126,9,1956,50.4167,10.3833,"50.4167 10.3833","1950-1960",123,4.50508186651669,7.33734358599759,6.47597811612017
2688,127.447900654914,58.3165913810896,7.05774177773105,9,1957,50.4167,10.3833,"50.4167 10.3833","1950-1960",112,7.33860639334641,6.29593735927483,7.75315200061659
1944,104.080811540143,54.4727952506757,6.50935469321426,9,1958,50.4167,10.3833,"50.4167 10.3833","1950-1960",123,2.12401634596716,6.51343735441333,6.37966652407
2472,116.661371977948,102.617742809511,8.67499980609864,9,1959,50.4167,10.3833,"50.4167 10.3833","1950-1960",105,8.38122932086164,4.64640614614473,5.47576074717242
2460,114.0621482879,62.4538790187668,6.9967740371583,9,1960,50.4167,10.3833,"50.4167 10.3833","1950-1960",101,6.54057362429859,4.31546865354176,5.4181520528079
1980,109.954287898823,33.4442619077764,5.70322567897458,10,1951,48.5833,12.1833,"48.5833 12.1833","1950-1960",111,5.01852447799117,5.16953113445197,3.71021730837453
2028,108.307349957184,97.6492698675446,6.96677403782885,10,1952,48.5833,12.1833,"48.5833 12.1833","1950-1960",108,6.45770477369183,8.07281231955858,4.28088879320357
1704,98.830404190944,88.6113239590997,8.65999980643392,10,1953,48.5833,12.1833,"48.5833 12.1833","1950-1960",111,6.97721295880123,4.91218739020405,6.18119551401342
2052,108.20795709237,34.3820373406678,5.92790309330749,10,1954,48.5833,12.1833,"48.5833 12.1833","1950-1960",119,5.39024578115796,7.35999983549118,2.17391299488752
1632,96.3369748466915,74.878657251525,6.91129016810127,10,1955,48.5833,12.1833,"48.5833 12.1833","1950-1960",121,3.30737697525469,7.94140607249574,3.44122214530491
1764,96.6066585025902,56.0911765039983,6.23903211861128,10,1956,48.5833,12.1833,"48.5833 12.1833","1950-1960",120,4.37327859077419,7.01609359317808,6.37565203140611
2556,124.430190295916,75.0447734988634,7.52999983169138,10,1957,48.5833,12.1833,"48.5833 12.1833","1950-1960",104,7.05581951442129,6.15593736240407,7.10086940650059
1776,97.4158139897394,34.4242383754338,5.5245160055497,10,1958,48.5833,12.1833,"48.5833 12.1833","1950-1960",120,2.10008192027263,6.47374985530041,6.20877763900078
2388,111.775404849876,47.071097993465,6.50258049981729,10,1959,48.5833,12.1833,"48.5833 12.1833","1950-1960",95,7.54278671665148,5.24484363276861,6.30847811986409
2328,106.739283904752,51.8467765864742,6.55177404710482,10,1960,48.5833,12.1833,"48.5833 12.1833","1950-1960",100,6.38008182460717,5.38374987966381,5.22380423106496
2184,118.407605378561,29.7066206279071,5.35209665456486,11,1951,49.1667,11.45,"49.1667 11.45","1950-1960",111,4.77295071298837,4.78531239303993,3.39739122841021
1992,106.207049423225,109.61880191581,7.14048371136549,11,1952,49.1667,11.45,"49.1667 11.45","1950-1960",108,6.57245886948754,8.20499981660396,4.54155545404388
1920,101.65825583166,72.6562793635283,7.27145145037362,11,1953,49.1667,11.45,"49.1667 11.45","1950-1960",100,7.12360639815203,4.7971873927745,6.2636955121694
2040,110.431975929934,32.1301318853363,5.74774180701183,11,1954,49.1667,11.45,"49.1667 11.45","1950-1960",121,5.25836053820418,7.11703109092196,2.44760864094386
1572,94.7254695826774,60.0958471814319,6.21741921586856,11,1955,49.1667,11.45,"49.1667 11.45","1950-1960",120,3.5023769708961,8.19999981671572,3.14588881857279
1788,97.4676415313319,57.8074858694891,6.34306437435049,11,1956,49.1667,11.45,"49.1667 11.45","1950-1960",126,4.11663925224824,7.03234359281487,6.35913029264497
2508,122.073166523622,57.4630087826139,6.66048372209433,11,1957,49.1667,11.45,"49.1667 11.45","1950-1960",109,7.02655721999338,6.01437486556824,7.47836939806281
1908,101.889929293979,67.8677981192772,6.7970966222666,11,1958,49.1667,11.45,"49.1667 11.45","1950-1960",127,1.99311470954877,6.48093735513976,6.15999986231327
2388,113.0406387773,65.1603748378617,7.33064499743764,11,1959,49.1667,11.45,"49.1667 11.45","1950-1960",102,7.88139326646008,5.19343738391763,5.97260856215397
