"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo","mat60","mat30","mat45"
2916,131.50637700505,17.6992184332704,5.07645149943569,1,1951,51.9,9.85,"51.9 9.85","1950-1970",112,4.54336055418568,4.72999989427626,3.45163035763266
2256,114.548732555429,84.7277603083323,5.67274180868821,1,1952,51.9,9.85,"51.9 9.85","1950-1970",105,6.54557362418683,7.8846873237635,4.7808887820277
2532,121.289616371739,77.9323356270101,7.97967724099515,1,1953,51.9,9.85,"51.9 9.85","1950-1970",104,6.94024574651276,4.69812489498872,6.23641290408357
2304,116.216797589856,26.9762897987689,5.95838696359386,1,1954,51.9,9.85,"51.9 9.85","1950-1970",120,5.12704906572939,7.15656234003836,2.22021734167862
1896,106.072924175033,84.112960337918,7.53354821870885,1,1955,51.9,9.85,"51.9 9.85","1950-1970",121,3.46147533246606,8.36140606310801,3.69177769526011
2232,105.802021159416,91.4800500129816,7.81096756734675,1,1956,51.9,9.85,"51.9 9.85","1950-1970",130,4.21942613519667,6.41531235660659,6.62760854751358
2988,134.887502155058,54.3341333636778,6.91887081309312,1,1957,51.9,9.85,"51.9 9.85","1950-1970",116,7.31663918072266,3.43187492329162,7.67880417619144
2076,110.120262345448,47.0914978208975,6.12177405671607,1,1958,51.9,9.85,"51.9 9.85","1950-1970",122,2.72516387351407,3.45765617271536,5.80455542581363
2748,124.42404874183,126.847436858024,9.62499978486449,1,1959,51.9,9.85,"51.9 9.85","1950-1970",109,8.22336047193127,5.75249987142161,7.53630417937656
2496,120.592842298411,77.855470513338,8.19451594587055,1,1960,51.9,9.85,"51.9 9.85","1950-1970",116,6.09721297847077,6.48265610510134,4.49847816032074
2220,115.805696337668,139.606580929452,9.54806430271316,1,1961,51.9,9.85,"51.9 9.85","1950-1970",115,8.51967194071803,3.38874992425554,2.0853332867225
2268,110.292438887597,134.999190199353,9.24951592228946,1,1962,51.9,9.85,"51.9 9.85","1950-1970",128,4.33516383752777,7.79187482583802,4.03260860551635
1788,89.6532653384166,115.815582985431,9.55516107674808,1,1963,51.9,9.85,"51.9 9.85","1950-1970",126,5.87426216378197,8.8399998024106,6.32728246726986
2316,115.977254183582,129.308306566529,9.14096753761893,1,1964,51.9,9.85,"51.9 9.85","1950-1970",125,4.58401629098187,4.80171864267322,4.78199989311397
2256,111.317524227205,57.8867281966581,7.56774176633166,1,1965,51.9,9.85,"51.9 9.85","1950-1970",123,4.67901628885846,5.45218737813411,2.34456516498619
2220,113.527880658195,136.228395947887,9.57403204406822,1,1966,51.9,9.85,"51.9 9.85","1950-1970",122,6.58122936109478,4.68421864529955,3.55869557263087
2628,123.412176141453,79.1801704055423,8.08661272247592,1,1967,51.9,9.85,"51.9 9.85","1950-1970",130,6.4318851021378,9.28406229248503,6.32199985869229
1752,98.3378709119621,101.568414448152,7.95887078984731,1,1968,51.9,9.85,"51.9 9.85","1950-1970",110,7.0500818096315,5.48812487733085,4.42184772725096
1452,89.8781709947477,100.185132621082,8.07661272269944,1,1969,51.9,9.85,"51.9 9.85","1950-1970",123,3.58999991975725,6.84390609702677,4.47673903037187
2160,107.466460393161,65.093402239311,6.74838694593599,1,1970,51.9,9.85,"51.9 9.85","1950-1970",125,3.67090155729322,4.94374988949858,3.38099992442876
1896,107.454684547253,18.3601601115797,4.83790311767089,2,1951,49.3167,12.75,"49.3167 12.75","1950-1970",112,3.98557368140729,4.30015615388402,2.68695646168097
1860,98.0528464307315,98.9824681565365,6.21403211917007,2,1952,49.3167,12.75,"49.3167 12.75","1950-1970",109,5.49008184450022,7.50390608227463,3.11977770804531
1860,97.4321480386345,69.8856375390269,7.86967724345384,2,1953,49.3167,12.75,"49.3167 12.75","1950-1970",106,6.33999985828996,3.83578116426361,5.43891292190908
1824,102.009755714411,26.9909824527294,5.25306439871389,2,1954,49.3167,12.75,"49.3167 12.75","1950-1970",122,4.51377039091265,6.3326561084541,1.52684779195925
1536,91.9116141497373,79.8621896492986,6.60870952970318,2,1955,49.3167,12.75,"49.3167 12.75","1950-1970",122,2.6555737111351,7.46656233310932,1.5351110767987
1524,91.3667587144009,52.2962077433457,5.88258051367537,2,1956,49.3167,12.75,"49.3167 12.75","1950-1970",126,2.8704917391182,5.65890612351359,5.3128259682056
2508,116.421501593508,36.5101999326397,5.83048374064627,2,1957,49.3167,12.75,"49.3167 12.75","1950-1970",116,6.17819658321802,1.66687496274244,6.58902159185432
1704,95.2707674966585,163.787863813373,9.83322558666189,2,1958,49.3167,12.75,"49.3167 12.75","1950-1970",136,1.09311472966534,3.29218742641388,4.50588878817442
2340,109.610898718172,53.0984757047465,6.94161274806867,2,1959,49.3167,12.75,"49.3167 12.75","1950-1970",103,7.04377033436274,4.77656239323551,7.37521722645539
2328,105.906788271259,35.2198349581191,5.23596762490248,2,1960,49.3167,12.75,"49.3167 12.75","1950-1970",102,4.87491792382398,4.96546863901312,3.06434775759345
