"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo","mat60","mat30","mat45"
3156,136.391414116709,57.9640907693781,7.1443546790209,1,1951,50,8.71667,"50 8.71667","1950-1960",112,6.58475395117993,6.5460936036834,5.39467379246312
2688,131.262168093153,163.71964285883,9.38467720959095,1,1952,50,8.71667,"50 8.71667","1950-1960",108,8.83680308117058,9.71374978288077,7.08222206392222
2148,106.491068531901,132.553239473887,9.84887074760251,1,1953,50,8.71667,"50 8.71667","1950-1960",104,8.83680308117058,7.01999984309077,7.88021721516776
2532,121.033231721928,64.876085293011,7.62983853913723,1,1954,50,8.71667,"50 8.71667","1950-1960",116,7.48516376711978,8.62609355719178,4.79369554502647
1776,105.89389079874,79.5025148978239,7.8561288566599,1,1955,50,8.71667,"50 8.71667","1950-1960",114,5.9161474087474,9.69812478323001,5.9281109786075
2016,103.644008776676,81.1900659978991,7.65403208698356,1,1956,50,8.71667,"50 8.71667","1950-1960",116,6.53762280469241,9.13437479583081,8.12336938364593
2640,131.074776807021,91.8191143975015,8.43016110189379,1,1957,50,8.71667,"50 8.71667","1950-1960",112,8.9713112748854,8.52937480935361,8.75630415210743
2256,110.650161664194,63.3316126422637,7.03193532669496,1,1958,50,8.71667,"50 8.71667","1950-1960",120,4.39836055742668,8.69453105566208,8.33033314713587
2376,116.96249297076,149.903528936929,10.2572578352485,1,1959,50,8.71667,"50 8.71667","1950-1960",106,9.28532766130921,7.32421858629095,7.604999830015
2688,124.906617549389,155.707533230648,10.4883868623405,1,1960,50,8.71667,"50 8.71667","1950-1960",112,8.42622931985582,6.061093614524,7.88869547584782
2916,131.50637700505,17.6992184332704,5.07645149943569,2,1951,51.9,9.85,"51.9 9.85","1950-1960",112,4.54336055418568,4.72999989427626,3.45163035763266
2256,114.548732555429,84.7277603083323,5.67274180868821,2,1952,51.9,9.85,"51.9 9.85","1950-1960",105,6.54557362418683,7.8846873237635,4.7808887820277
2532,121.289616371739,77.9323356270101,7.97967724099515,2,1953,51.9,9.85,"51.9 9.85","1950-1960",104,6.94024574651276,4.69812489498872,6.23641290408357
2304,116.216797589856,26.9762897987689,5.95838696359386,2,1954,51.9,9.85,"51.9 9.85","1950-1960",120,5.12704906572939,7.15656234003836,2.22021734167862
1896,106.072924175033,84.112960337918,7.53354821870885,2,1955,51.9,9.85,"51.9 9.85","1950-1960",121,3.46147533246606,8.36140606310801,3.69177769526011
2232,105.802021159416,91.4800500129816,7.81096756734675,2,1956,51.9,9.85,"51.9 9.85","1950-1960",130,4.21942613519667,6.41531235660659,6.62760854751358
2988,134.887502155058,54.3341333636778,6.91887081309312,2,1957,51.9,9.85,"51.9 9.85","1950-1960",116,7.31663918072266,6.13406236289302,7.67880417619144
2076,110.120262345448,47.0914978208975,6.12177405671607,2,1958,51.9,9.85,"51.9 9.85","1950-1960",122,2.72516387351407,7.03078109284979,5.80455542581363
2748,124.42404874183,126.847436858024,9.62499978486449,2,1959,51.9,9.85,"51.9 9.85","1950-1960",109,8.22336047193127,5.01687488786411,4.86826076075111
2496,120.592842298411,77.855470513338,8.19451594587055,2,1960,51.9,9.85,"51.9 9.85","1950-1960",116,6.09721297847077,4.58328114755568,5.38739118393025
1896,107.454684547253,18.3601601115797,4.83790311767089,3,1951,49.3167,12.75,"49.3167 12.75","1950-1960",112,3.98557368140729,4.30015615388402,2.68695646168097
1860,98.0528464307315,98.9824681565365,6.21403211917007,3,1952,49.3167,12.75,"49.3167 12.75","1950-1960",109,5.49008184450022,7.50390608227463,3.11977770804531
1860,97.4321480386345,69.8856375390269,7.86967724345384,3,1953,49.3167,12.75,"49.3167 12.75","1950-1960",106,6.33999985828996,3.83578116426361,5.43891292190908
1824,102.009755714411,26.9909824527294,5.25306439871389,3,1954,49.3167,12.75,"49.3167 12.75","1950-1960",122,4.51377039091265,6.3326561084541,1.52684779195925
1536,91.9116141497373,79.8621896492986,6.60870952970318,3,1955,49.3167,12.75,"49.3167 12.75","1950-1960",122,2.6555737111351,7.46656233310932,1.5351110767987
1524,91.3667587144009,52.2962077433457,5.88258051367537,3,1956,49.3167,12.75,"49.3167 12.75","1950-1960",126,2.8704917391182,5.65890612351359,5.3128259682056
